% Fair or Poor Health,% Smokers,% Adults with Obesity,Food Environment Index,% Physically Inactive,% With Access to Exercise Opportunities,% Excessive Drinking,% Uninsured,% Vaccinated,High School Graduation Rate,% Some College,% Unemployed,% Children in Poverty,Income Ratio,% Single-Parent Households,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems
28.442057219,21.76763047,46.4,6.5,40.8,66.996871741,12.55795627,11.556740466,50,90.163934426,46.542553191,4.4933516735,29.8,5.5269055375,45.248337896,261.40255994,9.8,17.802197802
23.975528912,20.624855656,29.4,4.6,37.1,10.581222057,13.25279097,8.3375570198,35,91.666666667,53.210202287,3.9101497504,21.1,5.1394376682,45.419479267,211.17296986,9.7,12.019230769
22.022769181,18.372733646,27.7,8.1,33.5,52.2444072,13.405537803,12.77965783,42,82.278481013,45.073848827,3.2122794525,24.8,3.8546564885,22.792069474,336.59124863,9.4,15.724137931
30.052423775,23.103409519,38.8,2.9,35.6,29.423728814,10.90987935,8.9078233927,26,86.554621849,47.481420314,6.8862275449,44.1,6.2975149957,52.320846906,366.78138018,10.0,17.331812999
23.742513205,19.33947371,26.9,5.1,38.3,66.879756469,14.855332363,7.2066968781,49,84.293193717,62.012692656,3.8204592902,26.4,4.928917138,38.948370212,329.47836278,10.1,14.968696642
22.553831362,20.333190979,42.6,7.1,31.9,52.179319779,13.955608941,8.6579335473,31,93.081761006,49.955843391,4.3873179092,29.3,4.9756436513,45.764815389,221.23893805,10.8,13.013168087
20.06844482,17.409398052,36.6,7.6,34.3,65.791297651,14.058202474,9.1217696014,44,92.045454545,45.816812054,4.5345541748,23.8,3.9269074384,29.04040404,367.18504555,10.1,10.714285714
22.0305959,19.038559786,35.5,7.0,32.9,1.2429508574,14.710686996,8.8858195212,44,95.652173913,50.675675676,3.9067231981,21.0,4.8064831406,32.84789644,95.277794319,9.8,7.9341317365
26.520424178,20.476424943,36.4,5.9,34.3,41.731834474,13.827324717,8.2783138649,46,90.650406504,56.908665105,4.7714381048,27.6,5.9696947461,45.548015628,316.84489192,9.8,9.9264705882
22.154074123,19.000933819,36.8,6.9,38.3,42.91355239,14.484569045,8.5021946967,27,85.520361991,51.305057096,4.3669187607,26.5,4.6755352555,34.096692112,210.99547189,10.2,13.755980861
22.717330723,20.762920838,38.2,6.7,34.0,64.566635215,15.003490255,7.9404688636,49,92.592592593,62.565095473,3.0635624538,24.9,4.7907145448,43.277490574,431.20608197,10.8,14.754098361
20.108698295,19.004177141,35.2,7.4,31.0,74.449538322,14.477525531,9.8941616995,44,90.337601863,55.69579288,3.5814005435,22.8,4.2374710871,31.614160442,380.19415898,10.3,13.821656051
25.870442919,23.311338002,41.3,5.8,37.8,73.016777337,12.54750659,7.9887379116,39,89.081225033,55.116828136,4.3089393022,29.0,4.652353105,52.988679245,1274.2625512,10.1,18.167072182
23.667438515,20.48800941,38.9,6.7,36.5,49.725797426,13.202630708,8.8189674274,40,92.09486166,48.18573966,4.1661067061,27.6,4.5237471168,39.563167039,664.31748599,10.2,12.900820283
22.724611879,19.211906124,38.5,5.5,44.6,18.482010843,12.143127627,8.0890538033,32,86.956521739,49.907692308,4.411241551,34.2,4.0768705795,40.119250426,597.36380754,9.9,9.9378881988
31.97991039,24.25184846,37.9,4.1,36.8,59.863161132,11.031244944,9.5309168443,38,86.995515695,40.448157995,4.5379386368,36.1,5.1226720025,50.085940186,730.14190661,10.0,15.119617225
25.466292777,20.831699776,40.8,5.8,30.1,39.98595278,13.698537741,8.4215625216,43,88.127853881,66.819941917,5.0019337373,27.3,6.0871198942,26.993704092,361.86573717,9.8,15.856236786
20.651997468,20.535015324,35.2,7.2,30.2,55.178077837,17.894979312,7.9798883958,48,93.313298272,66.739759403,3.2793285184,17.2,4.9126186226,27.198616601,361.23582836,10.6,15.431530495
21.811707435,21.150183953,34.0,7.4,37.0,65.897931034,13.775315943,9.4372475275,48,97.252747253,58.52073963,3.5916824197,23.2,5.6938557054,16.779825412,427.00227547,9.8,14.82300885
22.386930549,20.012115075,27.7,6.5,29.9,44.320130666,12.445774797,9.5882620564,38,97.520661157,62.700129814,3.9958376691,32.8,4.7146032726,28.995526637,183.62849914,9.7,14.122137405
19.986587977,19.415844716,29.5,6.6,34.9,78.002374406,13.560566053,9.8247843604,54,85.2402746,61.372137579,4.0468661911,35.4,4.7474542837,43.224621038,644.64141821,9.9,17.20976335
20.228554588,18.222245823,35.7,7.8,39.0,26.583767434,15.679501571,6.0703517588,54,89.473684211,55.438516144,3.1126066579,18.3,4.9050292851,33.083070961,254.38256926,10.0,12.663755459
20.034219944,19.622216775,36.4,7.0,33.4,40.116417201,15.701298059,7.0139960619,45,95.833333333,53.989592368,3.4978486459,23.5,4.1741570384,36.37295082,379.01637852,10.8,11.631374888
26.767114539,22.176658181,29.1,5.8,36.4,63.691450307,12.19343113,10.76914357,41,81.914893617,54.585152838,3.5627775535,30.9,4.3693024768,41.379310345,628.47746266,10.1,15.653298836
20.161343444,20.333526847,36.1,7.2,37.5,24.924824591,15.592568108,7.6132015306,54,91.534391534,51.773215119,3.7661687987,29.7,4.5136678011,35.327102804,230.12552301,10.2,13.006134969
26.394572298,21.855604946,44.5,5.7,29.5,10.131264051,12.722043308,11.598574171,45,97.087378641,54.38027255,3.4616683553,27.3,4.9070842201,40.843023256,153.55230141,10.0,12.031558185
22.985249998,19.872211004,28.6,7.2,29.8,50.650803613,14.555467337,8.1407267798,44,88.03986711,58.550596553,4.0808778202,20.3,4.2283712429,36.756510861,496.48940056,10.2,13.447432763
20.424630773,19.661089295,34.5,7.7,30.5,49.853971963,13.517247253,10.390170295,38,97.037037037,51.961483595,5.5452865065,27.9,4.2106366961,21.129622105,221.24723441,9.8,12.61682243
25.456038602,22.098124353,43.0,6.0,33.1,36.117130633,13.5387336,8.7250021095,49,88.8,45.433550283,6.1527825786,30.4,4.9257276681,43.365134432,692.10139285,10.2,13.504823151
25.737283487,21.331822966,40.8,5.4,34.1,53.164589656,13.046483183,7.2345256191,41,81.37603796,49.1599073,5.2875365211,33.8,5.0641690682,53.995736159,1008.8679351,10.4,17.498192336
24.322376912,20.752465241,39.5,7.6,28.9,60.606891151,14.2692565,10.567369301,48,91.455696203,39.080278129,4.5284825275,33.5,4.2712811172,30.292028414,243.57966206,9.8,15.077383924
